Prompt,Category
"Give me the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Provide the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"What is the trend air_temperature, process_temperature and tool_wear?","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Calculate the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Find the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Determine the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Show me the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Give me the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Provide the trend air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"What is the average air_temperature, rotational_speed and system_load?","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Calculate the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Find the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Determine the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Show me the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Give me the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Provide the average air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"What is the maximum air_temperature, rotational_speed and system_load?","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Calculate the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Find the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Determine the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Show me the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Give me the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Provide the maximum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"What is the minimum air_temperature, rotational_speed and system_load?","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Calculate the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Find the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Determine the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Show me the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Give me the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Provide the minimum air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"What is the latest air_temperature, rotational_speed and system_load?","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Calculate the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Find the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Determine the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Show me the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Give me the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
"Provide the latest air_temperature, rotational_speed and system_load.","multi_parameter_query: air_temperature, rotational_speed, system_load"
